Url,Venue Name,Phone,Venue Highlights,Guest Capacity,Address
https://www.wedding-spot.com/venue/1400/leonards-palazzo/,Leonard's Palazzo,5164877900,"4x award winner, Indoor and outdoor spaces, Upgraded rentals included",1000,"555 Northern Boulevard , Great Neck, NY 11021"
https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel,6095221177,"BYO, Valet parking",95,"6109 Atlantic Avenue , Wildwood, NJ 08260"
https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park,7327401722,"Indoor and outdoor spaces, Rentals included, Valet parking",200,"911 Kingsley Street , Asbury Park, NJ 07712"
https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic,6094990432,"BYO, Rentals included, Valet parking",2500,"1195 Florence Columbus Road , Bordentown, NJ 08505"
https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill,8567924480,N/A,170,"2000 New Jersey 38 , Cherry Hill, NJ 08002"
https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards,6097374465,"Indoor and outdoor spaces, Valet parking",400,"46 Yard Road , Pennington, NJ 08534"
https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden,6098261222,"Indoor and outdoor spaces, BYO",450,"55 Stockton Street , Princeton, NJ 08540"
https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon,6093685175,"Indoor and outdoor spaces, Valet parking",250,"105 80th Street , Avalon, NJ 08202"
https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel,6094874378,"Indoor and outdoor spaces, Rentals included, Valet parking",600,"123 South Indiana Avenue , Atlantic City, NJ 08401"
https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club,7327741155,"Indoor and outdoor spaces, Valet parking",160,"1200 Ocean Avenue , Asbury Park, NJ 07712"
https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern,6096070707,"Indoor and outdoor spaces, Rentals included, Valet parking",170,"547 North Main Street , Barnegat, NJ 08005"
https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129,7325512819,Valet parking,200,"2025 Church Road , Toms River, NJ 08753"
https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh,2017687171,"Award winner, Indoor and outdoor spaces",800,"26 Paris Avenue , Rockleigh, NJ 07647"
https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza,2127025003,"Upgraded rentals included, Rentals included, Valet parking",200,"One UN Plaza , New York, NY 10017"
https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate,2159472004,"3x award winner, Indoor and outdoor spaces, BYO",250,"1005 Cathedral Road , Bryn Athyn, PA 19009"
https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom,2156218561,"Upgraded rentals included, Rentals included, Valet parking",230,"1324 Locust Street , Philadelphia, PA 19107"
https://www.wedding-spot.com/venue/18278/maxwell-social/,Maxwell Social,6462039756,"Indoor and outdoor spaces, BYO, Upgraded rentals included",250,"135 Watts Street , New York, NY 10013"
https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,6093973586,Indoor and outdoor spaces,150,"33 Risler Street , Stockton, NJ 08559"
https://www.wedding-spot.com/venue/3314/goggleworks-center-of-the-arts/,GoggleWorks Center of the Arts,6103744600,"Award winner, BYO, Valet parking",215,"201 Washington Street , Reading, PA 19601"
https://www.wedding-spot.com/venue/14198/the-benjamin-royal-sonesta-new-york/,The Benjamin Royal Sonesta New York,2127152500,"Indoor and outdoor spaces, Rentals included, Valet parking",100,"125 East 50th Street , New York, NY 10022"
https://www.wedding-spot.com/venue/16087/the-german-society-of-pennsylvania/,The German Society of Pennsylvania,N/A,"Indoor and outdoor spaces, BYO, Valet parking",200,"611 Spring Garden Street , Philadelphia, PA 19123"
https://www.wedding-spot.com/venue/2498/the-st-regis-new-york/,The St. Regis New York,2123396743,"Rentals included, Valet parking",220,"2 East 55th Street , New York, NY 10022"
https://www.wedding-spot.com/venue/16839/sheraton-lincoln-harbor-hotel/,Sheraton Lincoln Harbor Hotel,N/A,"Upgraded rentals included, Rentals included",110,"500 Harbor Blvd , Weehawken, NJ 07086"
